Map_Value_Code,Second_Iteration_Code,FIrst_Iteration_Code,FIA_Ownership_Code,FIA_Ownership_Description,Land_Cover_Code,Land_Cover_Description,cover_clean,owner_clean,CLASS1_FULL,CLASS2_MAP,CLASS2_MAP_CODE,CLASS3_ERROR,CLASS3_ERROR_CODE,CLASS4_MAP,CLASS4_DESCRIPTION
76,-58,,0,Unmarked Public/Unknown,42,Evergreen Forest,42,-1,OWNER: -1 / COVER: 42,unknown forest,11,cover data only,1,0,Unknown Forest
77,-59,,0,Unmarked Public/Unknown,41,Deciduous Forest,41,-1,OWNER: -1 / COVER: 41,unknown forest,11,cover data only,1,0,Unknown Forest
78,-69,,0,Unmarked Public/Unknown,31,Barren Land,31,-1,OWNER: -1 / COVER: 31,unknown non-forest,12,cover data only,1,1,Non-Forest
79,-76,,0,Unmarked Public/Unknown,24,"Developed, High Intensity",24,-1,OWNER: -1 / COVER: 24,unknown non-forest,12,cover data only,1,1,Non-Forest
80,-77,,0,Unmarked Public/Unknown,23,"Developed, Medium Intensity",23,-1,OWNER: -1 / COVER: 23,unknown non-forest,12,cover data only,1,1,Non-Forest
81,-78,,0,Unmarked Public/Unknown,22,"Developed, Low Intensity",22,-1,OWNER: -1 / COVER: 22,unknown non-forest,12,cover data only,1,1,Non-Forest
82,-79,,0,Unmarked Public/Unknown,21,"Developed, Open Space",21,-1,OWNER: -1 / COVER: 21,unknown non-forest,12,cover data only,1,1,Non-Forest
83,-88,,0,Unmarked Public/Unknown,12,Perennial Ice/Snow,12,-1,OWNER: -1 / COVER: 12,unknown non-forest,12,cover data only,1,1,Non-Forest
84,-89,,0,Unmarked Public/Unknown,11,Open Water,11,-1,OWNER: -1 / COVER: 11,water,0,cover data only,1,2,Water
85,-100,,0,Unmarked Public/Unknown,0,Unclassified,-1,-1,OWNER: -1 / COVER: -1,unknown non-forest,12,no data,0,1,Non-Forest
86,4595,45.16,45,Family,95,Emergent Herbaceuous Wetlands,95,45,OWNER: 45 / COVER: 95,family non-forest,4,ownership and cover data,3,1,Non-Forest
87,4590,45.15,45,Family,90,Woody Wetlands,90,45,OWNER: 45 / COVER: 90,family forest,3,ownership and cover data,3,3,Family Forest
88,4582,45.14,45,Family,82,Cultivated Crops,82,45,OWNER: 45 / COVER: 82,family non-forest,4,ownership and cover data,3,1,Non-Forest
89,4581,45.13,45,Family,81,Hay/Pasture,81,45,OWNER: 45 / COVER: 81,family non-forest,4,ownership and cover data,3,1,Non-Forest
90,4574,,45,Family,74,Moss,74,45,OWNER: 45 / COVER: 74,family non-forest,4,ownership and cover data,3,1,Non-Forest
91,4573,,45,Family,73,Lichens,73,45,OWNER: 45 / COVER: 73,family non-forest,4,ownership and cover data,3,1,Non-Forest
92,4572,,45,Family,72,Sedge/Herbaceous,72,45,OWNER: 45 / COVER: 72,family non-forest,4,ownership and cover data,3,1,Non-Forest
93,4571,45.12,45,Family,71,Herbaceuous,71,45,OWNER: 45 / COVER: 71,family non-forest,4,ownership and cover data,3,1,Non-Forest
94,4552,45.11,45,Family,52,Shrub/Scrub,52,45,OWNER: 45 / COVER: 52,family non-forest,4,ownership and cover data,3,1,Non-Forest
95,4551,,45,Family,51,Dwarf Scrub,51,45,OWNER: 45 / COVER: 51,family non-forest,4,ownership and cover data,3,1,Non-Forest
96,4543,45.09,45,Family,43,Mixed Forest,43,45,OWNER: 45 / COVER: 43,family forest,3,ownership and cover data,3,3,Family Forest
97,4542,45.08,45,Family,42,Evergreen Forest,42,45,OWNER: 45 / COVER: 42,family forest,3,ownership and cover data,3,3,Family Forest
98,4541,45.07,45,Family,41,Deciduous Forest,41,45,OWNER: 45 / COVER: 41,family forest,3,ownership and cover data,3,3,Family Forest
99,4531,45.06,45,Family,31,Barren Land,31,45,OWNER: 45 / COVER: 31,family non-forest,4,ownership and cover data,3,1,Non-Forest
100,4524,45.05,45,Family,24,"Developed, High Intensity",24,45,OWNER: 45 / COVER: 24,family non-forest,4,ownership and cover data,3,1,Non-Forest
101,4523,45.04,45,Family,23,"Developed, Medium Intensity",23,45,OWNER: 45 / COVER: 23,family non-forest,4,ownership and cover data,3,1,Non-Forest
102,4522,45.03,45,Family,22,"Developed, Low Intensity",22,45,OWNER: 45 / COVER: 22,family non-forest,4,ownership and cover data,3,1,Non-Forest
103,4521,45.02,45,Family,21,"Developed, Open Space",21,45,OWNER: 45 / COVER: 21,family non-forest,4,ownership and cover data,3,1,Non-Forest
104,4512,,45,Family,12,Perennial Ice/Snow,12,45,OWNER: 45 / COVER: 12,family non-forest,4,ownership and cover data,3,1,Non-Forest
105,4511,45.01,45,Family,11,Open Water,11,45,OWNER: 45 / COVER: 11,water,0,ownership and cover data,3,2,Water
106,4500,,45,Family,0,Unclassified,-1,45,OWNER: 45 / COVER: -1,family non-forest,4,ownership data only,2,1,Non-Forest
107,4495,44.16,44,Native American,95,Emergent Herbaceuous Wetlands,95,44,OWNER: 44 / COVER: 95,indigenous non-forest,6,ownership and cover data,3,1,Non-Forest
108,4490,44.15,44,Native American,90,Woody Wetlands,90,44,OWNER: 44 / COVER: 90,indigenous forest,5,ownership and cover data,3,5,Tribal Forest
109,4482,44.14,44,Native American,82,Cultivated Crops,82,44,OWNER: 44 / COVER: 82,indigenous non-forest,6,ownership and cover data,3,1,Non-Forest
110,4481,44.13,44,Native American,81,Hay/Pasture,81,44,OWNER: 44 / COVER: 81,indigenous non-forest,6,ownership and cover data,3,1,Non-Forest
111,4474,,44,Native American,74,Moss,74,44,OWNER: 44 / COVER: 74,indigenous non-forest,6,ownership and cover data,3,1,Non-Forest
112,4473,,44,Native American,73,Lichens,73,44,OWNER: 44 / COVER: 73,indigenous non-forest,6,ownership and cover data,3,1,Non-Forest
113,4472,,44,Native American,72,Sedge/Herbaceous,72,44,OWNER: 44 / COVER: 72,indigenous non-forest,6,ownership and cover data,3,1,Non-Forest
114,4471,44.12,44,Native American,71,Herbaceuous,71,44,OWNER: 44 / COVER: 71,indigenous non-forest,6,ownership and cover data,3,1,Non-Forest
115,4452,44.11,44,Native American,52,Shrub/Scrub,52,44,OWNER: 44 / COVER: 52,indigenous non-forest,6,ownership and cover data,3,1,Non-Forest
116,4451,,44,Native American,51,Dwarf Scrub,51,44,OWNER: 44 / COVER: 51,indigenous non-forest,6,ownership and cover data,3,1,Non-Forest
117,4443,44.09,44,Native American,43,Mixed Forest,43,44,OWNER: 44 / COVER: 43,indigenous forest,5,ownership and cover data,3,5,Tribal Forest
118,4442,44.08,44,Native American,42,Evergreen Forest,42,44,OWNER: 44 / COVER: 42,indigenous forest,5,ownership and cover data,3,5,Tribal Forest
119,4441,44.07,44,Native American,41,Deciduous Forest,41,44,OWNER: 44 / COVER: 41,indigenous forest,5,ownership and cover data,3,5,Tribal Forest
120,4431,44.06,44,Native American,31,Barren Land,31,44,OWNER: 44 / COVER: 31,indigenous non-forest,6,ownership and cover data,3,1,Non-Forest
121,4424,44.05,44,Native American,24,"Developed, High Intensity",24,44,OWNER: 44 / COVER: 24,indigenous non-forest,6,ownership and cover data,3,1,Non-Forest
122,4423,44.04,44,Native American,23,"Developed, Medium Intensity",23,44,OWNER: 44 / COVER: 23,indigenous non-forest,6,ownership and cover data,3,1,Non-Forest
123,4422,44.03,44,Native American,22,"Developed, Low Intensity",22,44,OWNER: 44 / COVER: 22,indigenous non-forest,6,ownership and cover data,3,1,Non-Forest
124,4421,44.02,44,Native American,21,"Developed, Open Space",21,44,OWNER: 44 / COVER: 21,indigenous non-forest,6,ownership and cover data,3,1,Non-Forest
125,4412,,44,Native American,12,Perennial Ice/Snow,12,44,OWNER: 44 / COVER: 12,indigenous non-forest,6,ownership and cover data,3,1,Non-Forest
126,4411,44.01,44,Native American,11,Open Water,11,44,OWNER: 44 / COVER: 11,water,0,ownership and cover data,3,2,Water
127,4400,,44,Native American,0,Unclassified,-1,44,OWNER: 44 / COVER: -1,indigenous non-forest,6,ownership data only,2,1,Non-Forest
128,4395,43.16,43,Unincorporated local partnership/association/club,95,Emergent Herbaceuous Wetlands,95,43,OWNER: 43 / COVER: 95,other private non-forest,8,ownership and cover data,3,1,Non-Forest
129,4390,43.15,43,Unincorporated local partnership/association/club,90,Woody Wetlands,90,43,OWNER: 43 / COVER: 90,other private forest,7,ownership and cover data,3,4,Corporate/Other Private Forest
130,4382,43.14,43,Unincorporated local partnership/association/club,82,Cultivated Crops,82,43,OWNER: 43 / COVER: 82,other private non-forest,8,ownership and cover data,3,1,Non-Forest
131,4381,43.13,43,Unincorporated local partnership/association/club,81,Hay/Pasture,81,43,OWNER: 43 / COVER: 81,other private non-forest,8,ownership and cover data,3,1,Non-Forest
132,4374,,43,Unincorporated local partnership/association/club,74,Moss,74,43,OWNER: 43 / COVER: 74,other private non-forest,8,ownership and cover data,3,1,Non-Forest
133,4373,,43,Unincorporated local partnership/association/club,73,Lichens,73,43,OWNER: 43 / COVER: 73,other private non-forest,8,ownership and cover data,3,1,Non-Forest
134,4372,,43,Unincorporated local partnership/association/club,72,Sedge/Herbaceous,72,43,OWNER: 43 / COVER: 72,other private non-forest,8,ownership and cover data,3,1,Non-Forest
135,4371,43.12,43,Unincorporated local partnership/association/club,71,Herbaceuous,71,43,OWNER: 43 / COVER: 71,other private non-forest,8,ownership and cover data,3,1,Non-Forest
136,4352,43.11,43,Unincorporated local partnership/association/club,52,Shrub/Scrub,52,43,OWNER: 43 / COVER: 52,other private non-forest,8,ownership and cover data,3,1,Non-Forest
137,4351,,43,Unincorporated local partnership/association/club,51,Dwarf Scrub,51,43,OWNER: 43 / COVER: 51,other private non-forest,8,ownership and cover data,3,1,Non-Forest
138,4343,43.09,43,Unincorporated local partnership/association/club,43,Mixed Forest,43,43,OWNER: 43 / COVER: 43,other private forest,7,ownership and cover data,3,4,Corporate/Other Private Forest
139,4342,43.08,43,Unincorporated local partnership/association/club,42,Evergreen Forest,42,43,OWNER: 43 / COVER: 42,other private forest,7,ownership and cover data,3,4,Corporate/Other Private Forest
140,4341,43.07,43,Unincorporated local partnership/association/club,41,Deciduous Forest,41,43,OWNER: 43 / COVER: 41,other private forest,7,ownership and cover data,3,4,Corporate/Other Private Forest
141,4331,43.06,43,Unincorporated local partnership/association/club,31,Barren Land,31,43,OWNER: 43 / COVER: 31,other private non-forest,8,ownership and cover data,3,1,Non-Forest
142,4324,43.05,43,Unincorporated local partnership/association/club,24,"Developed, High Intensity",24,43,OWNER: 43 / COVER: 24,other private non-forest,8,ownership and cover data,3,1,Non-Forest
143,4323,43.04,43,Unincorporated local partnership/association/club,23,"Developed, Medium Intensity",23,43,OWNER: 43 / COVER: 23,other private non-forest,8,ownership and cover data,3,1,Non-Forest
144,4322,43.03,43,Unincorporated local partnership/association/club,22,"Developed, Low Intensity",22,43,OWNER: 43 / COVER: 22,other private non-forest,8,ownership and cover data,3,1,Non-Forest
145,4321,43.02,43,Unincorporated local partnership/association/club,21,"Developed, Open Space",21,43,OWNER: 43 / COVER: 21,other private non-forest,8,ownership and cover data,3,1,Non-Forest
146,4312,,43,Unincorporated local partnership/association/club,12,Perennial Ice/Snow,12,43,OWNER: 43 / COVER: 12,other private non-forest,8,ownership and cover data,3,1,Non-Forest
147,4311,43.01,43,Unincorporated local partnership/association/club,11,Open Water,11,43,OWNER: 43 / COVER: 11,water,0,ownership and cover data,3,2,Water
148,4300,,43,Unincorporated local partnership/association/club,0,Unclassified,-1,43,OWNER: 43 / COVER: -1,other private non-forest,8,ownership data only,2,1,Non-Forest
149,4295,42.16,42,Nongovernmental conservation/natural resources organization,95,Emergent Herbaceuous Wetlands,95,42,OWNER: 42 / COVER: 95,other private non-forest,8,ownership and cover data,3,1,Non-Forest
150,4290,42.15,42,Nongovernmental conservation/natural resources organization,90,Woody Wetlands,90,42,OWNER: 42 / COVER: 90,other private forest,7,ownership and cover data,3,4,Corporate/Other Private Forest
151,4282,42.14,42,Nongovernmental conservation/natural resources organization,82,Cultivated Crops,82,42,OWNER: 42 / COVER: 82,other private non-forest,8,ownership and cover data,3,1,Non-Forest
152,4281,42.13,42,Nongovernmental conservation/natural resources organization,81,Hay/Pasture,81,42,OWNER: 42 / COVER: 81,other private non-forest,8,ownership and cover data,3,1,Non-Forest
153,4274,,42,Nongovernmental conservation/natural resources organization,74,Moss,74,42,OWNER: 42 / COVER: 74,other private non-forest,8,ownership and cover data,3,1,Non-Forest
154,4273,,42,Nongovernmental conservation/natural resources organization,73,Lichens,73,42,OWNER: 42 / COVER: 73,other private non-forest,8,ownership and cover data,3,1,Non-Forest
155,4272,,42,Nongovernmental conservation/natural resources organization,72,Sedge/Herbaceous,72,42,OWNER: 42 / COVER: 72,other private non-forest,8,ownership and cover data,3,1,Non-Forest
156,4271,42.12,42,Nongovernmental conservation/natural resources organization,71,Herbaceuous,71,42,OWNER: 42 / COVER: 71,other private non-forest,8,ownership and cover data,3,1,Non-Forest
157,4252,42.11,42,Nongovernmental conservation/natural resources organization,52,Shrub/Scrub,52,42,OWNER: 42 / COVER: 52,other private non-forest,8,ownership and cover data,3,1,Non-Forest
158,4251,,42,Nongovernmental conservation/natural resources organization,51,Dwarf Scrub,51,42,OWNER: 42 / COVER: 51,other private non-forest,8,ownership and cover data,3,1,Non-Forest
159,4243,42.09,42,Nongovernmental conservation/natural resources organization,43,Mixed Forest,43,42,OWNER: 42 / COVER: 43,other private forest,7,ownership and cover data,3,4,Corporate/Other Private Forest
160,4242,42.08,42,Nongovernmental conservation/natural resources organization,42,Evergreen Forest,42,42,OWNER: 42 / COVER: 42,other private forest,7,ownership and cover data,3,4,Corporate/Other Private Forest
161,4241,42.07,42,Nongovernmental conservation/natural resources organization,41,Deciduous Forest,41,42,OWNER: 42 / COVER: 41,other private forest,7,ownership and cover data,3,4,Corporate/Other Private Forest
162,4231,42.06,42,Nongovernmental conservation/natural resources organization,31,Barren Land,31,42,OWNER: 42 / COVER: 31,other private non-forest,8,ownership and cover data,3,1,Non-Forest
163,4224,42.05,42,Nongovernmental conservation/natural resources organization,24,"Developed, High Intensity",24,42,OWNER: 42 / COVER: 24,other private non-forest,8,ownership and cover data,3,1,Non-Forest
164,4223,42.04,42,Nongovernmental conservation/natural resources organization,23,"Developed, Medium Intensity",23,42,OWNER: 42 / COVER: 23,other private non-forest,8,ownership and cover data,3,1,Non-Forest
165,4222,42.03,42,Nongovernmental conservation/natural resources organization,22,"Developed, Low Intensity",22,42,OWNER: 42 / COVER: 22,other private non-forest,8,ownership and cover data,3,1,Non-Forest
166,4221,42.02,42,Nongovernmental conservation/natural resources organization,21,"Developed, Open Space",21,42,OWNER: 42 / COVER: 21,other private non-forest,8,ownership and cover data,3,1,Non-Forest
167,4212,,42,Nongovernmental conservation/natural resources organization,12,Perennial Ice/Snow,12,42,OWNER: 42 / COVER: 12,other private non-forest,8,ownership and cover data,3,1,Non-Forest
168,4211,42.01,42,Nongovernmental conservation/natural resources organization,11,Open Water,11,42,OWNER: 42 / COVER: 11,water,0,ownership and cover data,3,2,Water
169,4200,,42,Nongovernmental conservation/natural resources organization,0,Unclassified,-1,42,OWNER: 42 / COVER: -1,other private non-forest,8,ownership data only,2,1,Non-Forest
170,4195,41.16,41,Corporate,95,Emergent Herbaceuous Wetlands,95,41,OWNER: 41 / COVER: 95,corporate non-forest,2,ownership and cover data,3,1,Non-Forest
